iter	Passed	Remaining
404	7447	10940
405	7463	10920
406	7481	10900
407	7499	10881
408	7514	10858
409	7530	10836
410	7547	10816
411	7563	10794
412	7580	10774
413	7600	10757
414	7618	10738
415	7636	10720
416	7653	10699
417	7672	10682
418	7688	10660
419	7704	10640
420	7721	10619
421	7737	10598
422	7753	10576
423	7770	10555
424	7786	10535
425	7806	10518
426	7823	10498
427	7839	10477
428	7856	10456
429	7879	10444
430	7894	10422
431	7910	10400
432	7926	10378
433	7942	10358
434	7959	10338
435	7975	10316
436	7993	10298
437	8009	10277
438	8025	10255
439	8041	10235
440	8060	10216
441	8076	10195
442	8094	10177
443	8111	10157
444	8128	10137
445	8145	10118
446	8162	10097
447	8179	10078
448	8196	10059
449	8213	10039
450	8231	10019
451	8247	9999
452	8264	9979
453	8280	9958
454	8297	9939
455	8313	9918
456	8330	9897
457	8346	9877
458	8362	9856
459	8379	9836
460	8396	9816
461	8412	9796
462	8429	9776
463	8446	9756
464	8464	9739
465	8481	9719
466	8499	9700
467	8517	9681
468	8533	9661
469	8550	9642
470	8568	9623
471	8585	9603
472	8603	9585
473	8624	9570
474	8642	9551
475	8660	9533
476	8676	9513
477	8693	9493
478	8710	9474
479	8727	9454
480	8744	9434
481	8760	9415
482	8777	9394
483	8793	9375
484	8811	9356
485	8828	9336
486	8845	9317
487	8861	9297
488	8879	9278
489	8896	9259
490	8914	9240
491	8931	9221
492	8947	9201
493	8962	9180
494	8980	9161
495	8996	9141
496	9015	9124
497	9033	9106
498	9050	9086
499	9067	9067
500	9084	9048
501	9101	9029
502	9118	9010
503	9136	8991
504	9152	8971
505	9169	8951
506	9186	8932
507	9202	8913
508	9220	8894
509	9237	8875
510	9254	8856
511	9270	8836
512	9287	8816
513	9306	8799
514	9325	8782
515	9344	8764
516	9360	8744
517	9377	8725
518	9393	8706
519	9411	8687
520	9430	8670
521	9447	8651
522	9464	8631
523	9480	8612
524	9497	8592
525	9513	8573
526	9531	8554
527	9548	8536
528	9564	8516
529	9581	8496
530	9597	8476
531	9614	8457
532	9632	8439
533	9649	8420
534	9667	8402
535	9684	8383
536	9701	8364
537	9718	8345
538	9738	8329
539	9802	8350
540	9849	8356
541	9883	8351
542	9902	8333
543	9921	8316
544	9939	8298
545	9957	8279
546	9974	8260
547	9990	8240
548	10007	8220
549	10024	8201
550	10041	8182
551	10058	8163
552	10075	8144
553	10092	8124
554	10108	8105
555	10125	8086
556	10142	8066
557	10160	8048
558	10177	8028
559	10192	8008
560	10208	7988
561	10228	7971
562	10246	7953
563	10264	7934
564	10281	7916
565	10296	7895
566	10315	7877
567	10336	7861
568	10353	7842
569	10370	7823
570	10386	7803
571	10403	7784
572	10420	7765
573	10437	7745
574	10453	7726
575	10469	7706
576	10485	7687
577	10502	7667
578	10519	7648
579	10534	7628
580	10551	7609
581	10568	7590
582	10584	7570
583	10600	7551
584	10617	7532
585	10634	7512
586	10652	7494
587	10671	7477
588	10688	7458
589	10704	7438
590	10721	7419
591	10738	7400
592	10755	7382
593	10774	7364
594	10793	7346
595	10810	7328
596	10827	7309
597	10843	7289
598	10861	7271
599	10878	7252
600	10895	7233
601	10912	7214
602	10929	7195
603	10945	7176
604	10963	7157
605	10979	7138
606	10996	7119
607	11013	7100
608	11029	7081
609	11045	7062
610	11063	7043
611	11079	7024
612	11095	7005
613	11113	6986
614	11131	6968
615	11148	6949
616	11165	6930
617	11182	6911
618	11199	6893
619	11216	6874
620	11234	6856
621	11251	6837
622	11268	6818
623	11285	6799
624	11301	6780
625	11317	6761
626	11334	6742
627	11351	6724
628	11368	6705
629	11384	6686
630	11401	6667
631	11417	6648
632	11434	6629
633	11451	6610
634	11467	6591
635	11483	6572
636	11500	6553
637	11517	6534
638	11533	6515
639	11550	6496
640	11566	6477
641	11582	6459
642	11599	6440
643	11615	6421
644	11633	6403
645	11650	6384
646	11668	6366
647	11686	6348
648	11703	6329
649	11719	6310
650	11736	6291
651	11753	6273
652	11770	6254
653	11787	6236
654	11804	6217
655	11819	6198
656	11835	6179
657	11852	6160
658	11868	6141
659	11885	6123
660	11903	6104
661	11918	6085
662	11934	6066
663	11950	6047
664	11967	6028
665	11984	6010
666	12001	5991
667	12017	5972
668	12035	5954
669	12050	5935
670	12072	5919
671	12089	5900
672	12106	5882
673	12124	5864
674	12145	5847
675	12161	5829
676	12179	5810
677	12197	5792
678	12214	5774
679	12230	5755
680	12247	5737
681	12263	5718
682	12280	5699
683	12298	5681
684	12314	5662
685	12330	5644
686	12347	5625
687	12363	5606
688	12380	5588
689	12398	5570
690	12414	5551
691	12429	5532
692	12446	5513
693	12462	5495
694	12479	5476
695	12497	5458
696	12514	5440
697	12529	5421
698	12545	5402
699	12561	5383
700	12579	5365
701	12597	5347
702	12614	5329
703	12631	5311
704	12648	5292
705	12664	5273
706	12682	5255
707	12701	5238
708	12717	5219
709	12734	5201
710	12751	5183
711	12767	5164
712	12784	5145
713	12802	5128
714	12820	5110
715	12837	5091
716	12853	5073
717	12869	5054
718	12887	5036
719	12903	5018
720	12921	5000
721	12939	4982
722	12955	4963
723	12974	4945
724	12990	4927
725	13006	4908
726	13024	4890
727	13040	4872
728	13055	4853
729	13072	4835
730	13089	4816
731	13105	4798
732	13122	4779
733	13139	4761
734	13155	4743
735	13172	4724
736	13187	4706
737	13203	4687
738	13221	4669
739	13237	4651
740	13254	4632
741	13270	4614
742	13286	4595
743	13302	4577
744	13318	4558
745	13336	4540
746	13353	4522
747	13372	4505
748	13389	4487
749	13405	4468
750	13422	4450
751	13441	4432
752	13457	4414
753	13474	4396
754	13491	4378
755	13508	4359
756	13525	4341
757	13543	4323
758	13559	4305
759	13575	4286
760	13591	4268
761	13608	4250
762	13624	4232
763	13642	4214
764	13657	4195
765	13674	4177
766	13690	4159
767	13708	4141
768	13725	4122
769	13743	4105
770	13762	4087
771	13779	4069
772	13797	4051
773	13816	4034
774	13835	4016
775	13853	3998
776	13870	3980
777	13887	3962
778	13904	3944
779	13920	3926
780	13937	3908
781	13954	3890
782	13972	3872
783	13988	3854
784	14004	3835
785	14021	3817
786	14037	3799
787	14054	3781
788	14071	3763
789	14087	3744
790	14103	3726
791	14120	3708
792	14136	3690
793	14155	3672
794	14174	3655
795	14192	3637
796	14209	3619
797	14226	3601
798	14243	3583
799	14260	3565
800	14277	3547
801	14293	3528
802	14309	3510
803	14325	3492
804	14342	3474
805	14360	3456
806	14376	3438
807	14395	3420
808	14414	3403
809	14433	3385
810	14454	3368
811	14475	3351
812	14495	3334
813	14520	3317
814	14540	3300
815	14563	3283
816	14581	3266
817	14598	3248
818	14616	3230
819	14632	3212
820	14652	3194
821	14672	3177
822	14692	3159
823	14712	3142
824	14732	3125
825	14751	3107
826	14772	3090
827	14791	3072
